strategy_type,config_str,num_symbols,avg_sharpe,std_sharpe,min_sharpe,max_sharpe,avg_cagr,std_cagr,avg_max_dd,std_max_dd,positive_sharpe_count,positive_cagr_count,robustness_score,symbol_win_ratio
Supertrend,atr_period=49_multiplier=3.0,222,0.28515158855219147,0.13808690387268374,-0.2592823118806929,0.6163479627293664,0.004061555246053546,0.003957891621581871,0.0625473651385456,0.0650560034224153,219,219,0.2505534397960975,0.9864864864864865
Supertrend,atr_period=3_multiplier=3.0,222,0.285077423853203,0.13812200514483025,-0.26692375883477915,0.6164271997444365,0.004058507342051695,0.003975418336712875,0.06266455172117859,0.06546492687423473,219,218,0.2504805482756006,0.9864864864864865
Supertrend,atr_period=26_multiplier=3.0,222,0.2847343991011516,0.13789513817786997,-0.2626326941760771,0.6161724254513719,0.0040571855683053,0.0039647174570843335,0.06253935603485347,0.0650285755898136,218,218,0.2502290321383229,0.9819819819819819
Supertrend,atr_period=4_multiplier=3.0,222,0.2848935208219969,0.13865064022515042,-0.29439661713271925,0.6163873632164919,0.004053636218094777,0.003987306546768801,0.06268884649074377,0.0655203962158705,219,218,0.25020274942774695,0.9864864864864865
Supertrend,atr_period=27_multiplier=3.0,222,0.28472474141399795,0.13819768589838952,-0.2625809053658343,0.6161405427486297,0.004055484361337715,0.003972077977860372,0.06259193709525969,0.06528101804036042,219,218,0.25015403294311056,0.9864864864864865
ParabolicSar,af_max=0.2_af_start=0.02_af_step=0.02,222,0.2846867733301441,0.13847143627455183,-0.2801893122380373,0.6162998406344857,0.004050822152579895,0.003983656469565684,0.06265936380238174,0.06554249104771925,219,218,0.25006053227099984,0.9864864864864865
FiftyTwoWeekHigh,entry_pct=0.95_exit_pct=0.8_period=60,222,0.2833303962415601,0.13973550437930796,-0.26977023099427755,0.6162205106766478,0.004042370484742833,0.003971926539147631,0.06254288092605484,0.06448685246061327,218,218,0.24859311230798223,0.9819819819819819
LarryWilliams,atr_stop_mult=1.5_range_multiplier=2.0,222,0.28222001142541614,0.13691500114177813,-0.268382122384944,0.6091314455311494,0.0040038752305498315,0.003935672405673836,0.06345397163986366,0.06632801731315735,219,217,0.2482331670722868,0.9864864864864865
FiftyTwoWeekHigh,entry_pct=0.95_exit_pct=0.8_period=205,222,0.2754793447580074,0.14052628801443284,-0.20486593448014326,0.6098349080048484,0.003966662018115094,0.0038370385923739677,0.06132036360493164,0.05727212239532685,219,217,0.24153704097219486,0.9864864864864865
FiftyTwoWeekHigh,entry_pct=0.95_exit_pct=0.8_period=145,222,0.27349350035348957,0.14391484628825893,-0.12408992319808286,0.6158638160923369,0.003964772468772803,0.003933806400752557,0.06141334369133451,0.060336911277449556,215,214,0.23908554141150734,0.9684684684684685
FiftyTwoWeekHigh,entry_pct=0.95_exit_pct=0.8_period=455,222,0.27243358393796596,0.1429626082246099,-0.15238356573468498,0.6146392595096585,0.0039473495345265,0.0038834556867544927,0.06117470301857713,0.05897469531769969,216,214,0.23835738980222926,0.972972972972973
FiftyTwoWeekHigh,entry_pct=0.95_exit_pct=0.8_period=415,222,0.2644846587511776,0.14698200088036673,-0.28365468590214044,0.6077883563725982,0.003816200248962698,0.0038477476982258473,0.06113391960769817,0.05636023767035249,215,214,0.23059181272955653,0.9684684684684685
MACrossover,fast=225_ma_type=SMA_slow=155,222,0.2271151585581248,0.14095829369697102,-0.19695985089983245,0.5965255222511348,0.0028537144298163343,0.0032725106079775014,0.052623139313643826,0.0439700311741749,211,210,0.19905649471394674,0.9504504504504504
MACrossover,fast=620_ma_type=SMA_slow=97,222,0.22725076092116328,0.14816800070941938,-0.31169452650467006,0.6031461797048159,0.002993757365839351,0.004033982059147482,0.05670623806192982,0.057385567401828735,214,211,0.19792465978911772,0.963963963963964
MACrossover,fast=535_ma_type=SMA_slow=94,222,0.22642378135683697,0.14576856046804076,-0.25466709439023244,0.5943181133167732,0.0029513598031303116,0.003657644816539312,0.05613036908870179,0.05399943960818141,210,209,0.19761738030614487,0.9459459459459459
MACrossover,fast=925_ma_type=SMA_slow=96,222,0.22720757247836984,0.1555001620334558,-0.21107343517517632,0.6041762240846545,0.0031400068406284283,0.0038753745304063365,0.05703211273261583,0.05246268947898585,209,208,0.19663136358071007,0.9414414414414415
MACrossover,fast=835_ma_type=SMA_slow=55,222,0.22561150304928926,0.1560671716331912,-0.30009544846436176,0.6039804400806149,0.00303280651397753,0.004105347111832353,0.057726416751722874,0.05853473420392349,209,205,0.1951543202550808,0.9414414414414415
Tsmom,lookback=725,222,0.20150849963746623,0.16461917911398394,-0.227716828987468,0.6034409957396891,0.0029929642703998855,0.003942242930412627,0.06450168507592326,0.06272661765668679,196,194,0.17302522854790126,0.8828828828828829
Tsmom,lookback=640,222,0.1987578592146827,0.16186467955760603,-0.2627570140111482,0.5992056126761327,0.002904485952389278,0.0038895072233359087,0.06311842466633286,0.06321751598585812,200,198,0.17106799329708702,0.9009009009009009
Tsmom,lookback=350,222,0.1857803903079183,0.14762224293179005,-0.1702879378372939,0.564660025870917,0.0025385749212721268,0.0031713325121879156,0.06391745001792916,0.05882347610926829,192,192,0.16188287692412767,0.8648648648648649
Tsmom,lookback=495,222,0.18619961657534156,0.16032858596576033,-0.23038849424105434,0.6003345491900481,0.0027041880760887483,0.0035873905090346115,0.06475613877811527,0.06096183853677466,196,194,0.160471455092494,0.8828828828828829
